equipo;refrigerante;pca;elegible_innovae;kw_frigorificos;pvp_eur;eur_por_kw;fuente_url
Carrier 61AQ;R-290;3;si;32;30025;938;https://www.carrier.com/commercial/es/es/media/carrier-tarifa-de-precios-2025-es_tcm205-183571.pdf
Carrier 61AQ;R-290;3;si;38,3;34625;904;https://www.carrier.com/commercial/es/es/media/carrier-tarifa-de-precios-2025-es_tcm205-183571.pdf
Carrier 61AQ;R-290;3;si;52,5;42020;800;https://www.carrier.com/commercial/es/es/media/carrier-tarifa-de-precios-2025-es_tcm205-183571.pdf
Carrier 61AQ;R-290;3;si;64;53845;841;https://www.carrier.com/commercial/es/es/media/carrier-tarifa-de-precios-2025-es_tcm205-183571.pdf
Carrier 61AQ;R-290;3;si;76,6;58760;767;https://www.carrier.com/commercial/es/es/media/carrier-tarifa-de-precios-2025-es_tcm205-183571.pdf
Carrier 61AQ;R-290;3;si;105;69300;660;https://www.carrier.com/commercial/es/es/media/carrier-tarifa-de-precios-2025-es_tcm205-183571.pdf
Carrier 30RB-R;R-32;675;no;41,7;24295;583;https://www.carrier.com/commercial/es/es/media/carrier-tarifa-de-precios-2025-es_tcm205-183571.pdf
Carrier 30RB-R;R-32;675;no;47,3;24505;518;https://www.carrier.com/commercial/es/es/media/carrier-tarifa-de-precios-2025-es_tcm205-183571.pdf
Carrier 30RB-R;R-32;675;no;52,9;25015;473;https://www.carrier.com/commercial/es/es/media/carrier-tarifa-de-precios-2025-es_tcm205-183571.pdf
Carrier 30RB-R;R-32;675;no;56,1;26480;472;https://www.carrier.com/commercial/es/es/media/carrier-tarifa-de-precios-2025-es_tcm205-183571.pdf
Carrier 30RB-R;R-32;675;no;63,6;27945;439;https://www.carrier.com/commercial/es/es/media/carrier-tarifa-de-precios-2025-es_tcm205-183571.pdf
Carrier 30RB-R;R-32;675;no;71,2;29870;420;https://www.carrier.com/commercial/es/es/media/carrier-tarifa-de-precios-2025-es_tcm205-183571.pdf
Carrier 30RB-R;R-32;675;no;81,1;32680;403;https://www.carrier.com/commercial/es/es/media/carrier-tarifa-de-precios-2025-es_tcm205-183571.pdf
