actuacion;inversion_elegible_eur;ayuda_eur;ahorro_tep_ano;rpa_meur_ktep;rpe_meur_ktep;fuente_url
Gestion energetica de enfriadoras (Fruit Tech Natural);30975,00;9292,50;50,28;0,62;0,18;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_MUR_1_240920_fdo.pdf
Sustitucion camaras frigorificas y equipos generadores de frio (Riverbend);185922,45;31317,14;25,44;7,31;1,23;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_MUR_1_240920_fdo.pdf
Tunel escaldado-enfriado por vapor (Ultracongelados Azarbe);481800,00;105930,00;79,17;6,09;1,34;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_MUR_1_240920_fdo.pdf
Maquina escaldado-enfriado linea 2 (Ultracongelados Azarbe);490000,00;97140,00;152,49;3,21;0,64;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_MUR_1_240920_fdo.pdf
Sustitucio tunel de refrigeracio de producte (Granja San Francisco);238769,00;42965,70;27,47;8,69;1,56;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_CAT_1_241024_fdo.pdf
Millora sistema de refrigeracio (Frigorifics Ferrer) - exp 000005;585777,10;123435,33;42,13;13,90;2,93;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_CAT_1_241024_fdo.pdf
Millora sistema de refrigeracio (Frigorifics Ferrer) - 2a operacion;417512,87;74940,15;29,80;14,01;2,51;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_CAT_1_241024_fdo.pdf
Ampliacion condensacion tuneles congelacion (Jaume Artigas);184292,19;55287,66;39,94;4,61;1,38;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_CAT_1_241024_fdo.pdf
Enfriadora eficiente (Silvalac);133773,00;17830,00;26,45;5,06;0,67;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_CAT_1_241024_fdo.pdf
Sustitucion central frigorifica (Especialitats Pirineus);521938,00;142075,00;49,32;10,58;2,88;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_CAT_1_241024_fdo.pdf
Instal.lacio frigorifica per congelacio eficient (Aeropic);346783,22;85069,00;26,98;12,85;3,15;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_CAT_1_241024_fdo.pdf
Reconversion instalacion de frio (Frigorificos del Nordeste);789310,00;194793,00;75,43;10,46;2,58;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_CAT_1_241024_fdo.pdf
Mejora energetica en sistemas de frio (Coopecarn Girona);428836,00;76690,00;27,26;15,73;2,81;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_CAT_1_241024_fdo.pdf
Sustitucion planta enfriadora (Embotits Espina);79493,00;23337,20;6,88;11,55;3,39;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_CAT_1_241024_fdo.pdf
Optimitzacio del sistema de refrigeracio (Retal Iberia);152424,00;23554,20;31,53;4,83;0,75;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_CAT_1_241024_fdo.pdf
Antecamara para carga de camiones en zona fria (Frigorificos Costa Brava);121237,00;36371,00;10,80;11,23;3,37;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_CAT_1_241024_fdo.pdf
Millora eficiencia de la instal.lacio frigorifica (Casademont);358751,75;41638,98;25,21;14,23;1,65;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_CAT_1_241024_fdo.pdf
Recuperacion energetica en compresores frigorificos (Pavo y Derivados);312900,00;93870,00;104,50;2,99;0,90;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_CAT_1_241024_fdo.pdf
Eficiencia sistema de refrigeracion y enfriamiento (Gestamp Vigo);303400,00;84386,13;63,80;4,76;1,32;https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/INDUSTRIA-Notificaciones_DECA/DECA_Industria_III_GAL_1_240528_fdo.pdf
