id;actuacion;categoria;inversion_elegible_eur;ayuda_eur;ahorro_tep_ano;rpa_meur_ktep;rpe_meur_ktep
MUR484330-000006;Gestion energetica de enfriadoras;frio;30975.00;9292.50;50.28;0.62;0.18
MUR484330-000007;Bombos curticion + compresor aire;otro;121943.00;36582.90;27.84;4.38;1.31
MUR484330-000008;Sustitucion equipos de inyeccion;otro;665000.00;186000.00;47.89;13.89;3.88
MUR484330-000009;Monitorizacion y control energetico;otro;116767.47;35030.24;64.40;1.81;0.54
MUR484330-000010;Sustitucion camaras frigorificas y equipos generadores de frio;frio;185922.45;31317.14;25.44;7.31;1.23
MUR484330-000019;Sustitucion inyectora de soplado;otro;141640.73;42492.22;10.07;14.07;4.22
MUR484330-000021;Bombos curticion, lijado, vacio;otro;618800.00;158119.60;48.54;12.75;3.26
MUR484330-000023;Sustitucion inyectora de soplado n10;otro;139318.75;41795.63;10.77;12.94;3.88
MUR484330-000024;Sustitucion maquinaria linea conformado;otro;773722.63;102044.29;69.35;11.16;1.47
MUR484330-000028;Eficiencia en inyeccion de plasticos;otro;282000.00;84600.00;20.43;13.80;4.14
MUR484330-000031;Eficiencia nueva planta de reciclado;otro;533333.33;125090.91;291.26;1.83;0.43
MUR484330-000032;Tunel escaldado-enfriado por vapor;frio;481800.00;105930.00;79.17;6.09;1.34
MUR484330-000036;Motores CC a CA con variador;otro;211846.00;35621.94;28.32;7.48;1.26
MUR484330-000039;Compresor aire comprimido y centro de corte;otro;114000.00;21501.00;7.96;14.32;2.70
MUR484330-000040;Gasificacion de GNL;otro;71072.50;21321.75;35.61;2.00;0.60
MUR484330-000042;Nueva tecnologia de ahorro;otro;210000.00;59000.00;14.86;14.13;3.97
MUR557349-000001;Eficiencia en inyeccion de plasticos;otro;205000.00;61500.00;23.06;8.89;2.67
MUR557349-000003;Sustitucion maquinaria linea inyeccion;otro;185000.00;53500.00;13.92;13.29;3.84
MUR557349-000004;Tecnologia hibrida;otro;300000.00;90000.00;24.42;12.29;3.69
MUR557349-000006;Maquina escaldado-enfriado linea 2;frio;490000.00;97140.00;152.49;3.21;0.64
MUR557349-000007;Eficiencia planta reciclaje plastico;otro;176326.06;40165.41;67.25;2.62;0.60
MUR557349-000008;Maquina de corte de tejido;otro;267734.81;23093.92;18.72;14.30;1.23
MUR557349-000009;Automatizacion linea extraccion residuos;otro;339746.60;82733.58;24.80;13.70;3.34
MUR557349-000011;Carretilla diesel a electrica;otro;226099.09;43379.73;25.59;8.84;1.70
MUR557349-000012;Sustitucion maquinaria extrusion-soplado;otro;582000.00;172800.00;42.54;13.68;4.06
MUR557349-000016;Mejora sistema de transporte;otro;89700.00;20680.00;12.42;7.22;1.67
MUR557349-000019;Sustitucion envasadoras de sal;otro;69427.00;18234.80;11.22;6.19;1.63
MUR557349-000027;Sustitucion tres quemadores de caldera;otro;191129.00;29935.97;294.00;0.65;0.10
MUR557349-000028;Mejora en linea de envasado;otro;57500.00;17250.00;4.10;14.02;4.21
MUR587667-000011;Sustitucion de pala mas eficiente;otro;260000.00;57600.00;18.32;14.19;3.14
