id_registro,programa,anio_convocatoria,convocatoria,variante_convocatoria,expediente,codigo_expediente,numero_expediente,nif,razon_social,titulo_proyecto,puntuacion,subvencion_eur,moneda,importe_original,decimales_importe_fuente,nivel_importe,rol_entidad_en_fuente,estado_en_fuente,aplicacion_presupuestaria,financiacion_mencionada,fecha_resolucion_publicacion_ayudas,fecha_publicacion_boe,referencia_boe,fuente_tipo,fuente_url,fuente_indice_url,pagina_fuente,tabla_fuente,fila_fuente,orden_fuente,fuente_sha256,fecha_consulta,metodo_extraccion,estado_conciliacion_convocatoria,observaciones,coste_total_eur,solicitado_eur,subvencionable_eur,comunidad_autonoma
AEI-cdb5a092e76892642c63,Agrupaciones Empresariales Innovadoras (AEI),2025,2025 RETOS,RETOS,AEI-010700-2025-1,010700,1,G66505751,ASSOCIACIÓ CLÚSTER DIGITAL DE CATALUNYA,,,32940.00,EUR,"32.940,00 €",2,beneficiario_en_expediente,beneficiario,concedida_segun_listado,,,,,,listado_ministerio_pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Retos-2025/Documents/Listado_Ayudas_Concedidas_Beneficiario.pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Paginas/convocatorias-anteriores.aspx,1,1,2,1,9bfbccc80222e53239ef7ff9093f293eff508bb9904ad311f6ea84d658f232ea,2026-09-21,tabla_pdf_pdfplumber,sin_total_comparable_en_fuente,La fuente no publica título de proyecto.,,,,
AEI-7ac1dfe3ac743a20e77b,Agrupaciones Empresariales Innovadoras (AEI),2025,2025 RETOS,RETOS,AEI-010700-2025-1,010700,1,G66028978,ASSOCIACIO CLUSTER DE LA INDUSTRIA D'AUTOMOCIO DE CATALUNYA (CIAC),,,48468.00,EUR,"48.468,00 €",2,beneficiario_en_expediente,beneficiario,concedida_segun_listado,,,,,,listado_ministerio_pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Retos-2025/Documents/Listado_Ayudas_Concedidas_Beneficiario.pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Paginas/convocatorias-anteriores.aspx,1,1,3,2,9bfbccc80222e53239ef7ff9093f293eff508bb9904ad311f6ea84d658f232ea,2026-09-21,tabla_pdf_pdfplumber,sin_total_comparable_en_fuente,La fuente no publica título de proyecto.,,,,
AEI-86f8c4ae65772ae17186,Agrupaciones Empresariales Innovadoras (AEI),2025,2025 RETOS,RETOS,AEI-010700-2025-1,010700,1,F95815114,"LEARTIKER, S.COOP.",,,41670.00,EUR,"41.670,00 €",2,beneficiario_en_expediente,beneficiario,concedida_segun_listado,,,,,,listado_ministerio_pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Retos-2025/Documents/Listado_Ayudas_Concedidas_Beneficiario.pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Paginas/convocatorias-anteriores.aspx,1,1,4,3,9bfbccc80222e53239ef7ff9093f293eff508bb9904ad311f6ea84d658f232ea,2026-09-21,tabla_pdf_pdfplumber,sin_total_comparable_en_fuente,La fuente no publica título de proyecto.,,,,
AEI-ef379dfd0b7eb616c72a,Agrupaciones Empresariales Innovadoras (AEI),2025,2025 RETOS,RETOS,AEI-010700-2025-1,010700,1,B78891421,CADTECH IBERICA SL,,,48695.00,EUR,"48.695,00 €",2,beneficiario_en_expediente,beneficiario,concedida_segun_listado,,,,,,listado_ministerio_pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Retos-2025/Documents/Listado_Ayudas_Concedidas_Beneficiario.pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Paginas/convocatorias-anteriores.aspx,1,1,5,4,9bfbccc80222e53239ef7ff9093f293eff508bb9904ad311f6ea84d658f232ea,2026-09-21,tabla_pdf_pdfplumber,sin_total_comparable_en_fuente,La fuente no publica título de proyecto.,,,,
AEI-222eca6891eb182e4209,Agrupaciones Empresariales Innovadoras (AEI),2025,2025 RETOS,RETOS,AEI-010700-2025-1,010700,1,G66522269,ASSOCIACIÓ CLÚSTER DE MATERIALS AVANÇATS DE CATALUNYA,,,33060.00,EUR,"33.060,00 €",2,beneficiario_en_expediente,beneficiario,concedida_segun_listado,,,,,,listado_ministerio_pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Retos-2025/Documents/Listado_Ayudas_Concedidas_Beneficiario.pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Paginas/convocatorias-anteriores.aspx,1,1,6,5,9bfbccc80222e53239ef7ff9093f293eff508bb9904ad311f6ea84d658f232ea,2026-09-21,tabla_pdf_pdfplumber,sin_total_comparable_en_fuente,La fuente no publica título de proyecto.,,,,
AEI-93af2f69fcfb23adfe17,Agrupaciones Empresariales Innovadoras (AEI),2025,2025 RETOS,RETOS,AEI-010700-2025-1,010700,1,B65095705,INEDIT INNOVACIO S.L.,,,69228.00,EUR,"69.228,00 €",2,beneficiario_en_expediente,beneficiario,concedida_segun_listado,,,,,,listado_ministerio_pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Retos-2025/Documents/Listado_Ayudas_Concedidas_Beneficiario.pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Paginas/convocatorias-anteriores.aspx,1,1,7,6,9bfbccc80222e53239ef7ff9093f293eff508bb9904ad311f6ea84d658f232ea,2026-09-21,tabla_pdf_pdfplumber,sin_total_comparable_en_fuente,La fuente no publica título de proyecto.,,,,
AEI-f9b420253e57d106cf69,Agrupaciones Empresariales Innovadoras (AEI),2025,2025 RETOS,RETOS,AEI-010700-2025-1,010700,1,A17166794,"IMPRESSIONS ROTATIVES OFFSET, S.A.",,,55092.00,EUR,"55.092,00 €",2,beneficiario_en_expediente,beneficiario,concedida_segun_listado,,,,,,listado_ministerio_pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Retos-2025/Documents/Listado_Ayudas_Concedidas_Beneficiario.pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Paginas/convocatorias-anteriores.aspx,1,1,8,7,9bfbccc80222e53239ef7ff9093f293eff508bb9904ad311f6ea84d658f232ea,2026-09-21,tabla_pdf_pdfplumber,sin_total_comparable_en_fuente,La fuente no publica título de proyecto.,,,,
AEI-c6ee3c7cf477d7da237e,Agrupaciones Empresariales Innovadoras (AEI),2025,2025 RETOS,RETOS,AEI-010700-2025-1,010700,1,B66488149,"MILLOR ENERGY SOLUTIONS, S.L.",,,95214.00,EUR,"95.214,00 €",2,beneficiario_en_expediente,beneficiario,concedida_segun_listado,,,,,,listado_ministerio_pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Retos-2025/Documents/Listado_Ayudas_Concedidas_Beneficiario.pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Paginas/convocatorias-anteriores.aspx,1,1,9,8,9bfbccc80222e53239ef7ff9093f293eff508bb9904ad311f6ea84d658f232ea,2026-09-21,tabla_pdf_pdfplumber,sin_total_comparable_en_fuente,La fuente no publica título de proyecto.,,,,
AEI-3e54128474b780d9efa8,Agrupaciones Empresariales Innovadoras (AEI),2025,2025 RETOS,RETOS,AEI-010700-2025-1,010700,1,V08504342,CENTRO ESPAÑOL DE PLÁSTICOS,,,33213.00,EUR,"33.213,00 €",2,beneficiario_en_expediente,beneficiario,concedida_segun_listado,,,,,,listado_ministerio_pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Retos-2025/Documents/Listado_Ayudas_Concedidas_Beneficiario.pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Paginas/convocatorias-anteriores.aspx,1,1,10,9,9bfbccc80222e53239ef7ff9093f293eff508bb9904ad311f6ea84d658f232ea,2026-09-21,tabla_pdf_pdfplumber,sin_total_comparable_en_fuente,La fuente no publica título de proyecto.,,,,
AEI-0cb210b2454b86777e14,Agrupaciones Empresariales Innovadoras (AEI),2025,2025 RETOS,RETOS,AEI-010700-2025-3,010700,3,G66028978,ASSOCIACIO CLUSTER DE LA INDUSTRIA D'AUTOMOCIO DE CATALUNYA (CIAC),,,48570.00,EUR,"48.570,00 €",2,beneficiario_en_expediente,beneficiario,concedida_segun_listado,,,,,,listado_ministerio_pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Retos-2025/Documents/Listado_Ayudas_Concedidas_Beneficiario.pdf,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/Paginas/convocatorias-anteriores.aspx,1,1,11,10,9bfbccc80222e53239ef7ff9093f293eff508bb9904ad311f6ea84d658f232ea,2026-09-21,tabla_pdf_pdfplumber,sin_total_comparable_en_fuente,La fuente no publica título de proyecto.,,,,
