id_registro,convocatoria,expediente,ambito,razon_social,nif,titulo_proyecto,puntuacion,estado_en_fuente,subvencion_eur,solicitado_eur,relacion,motivo_sector,nota_revision,fuentes
sector:2011:AEI-010400-2011-63,2011,AEI-010400-2011-63,Frío,ASOCIACION MURCIANA DE LOGISTICA (AML),G73517492,INNOVACIÓN EN SISTEMAS DE TRANSPORTE Y ALMACENAJE EN LA CADENA DE FRÍO,51,concedida_segun_listado,22681.00,,directa,Transporte y almacenamiento en cadena de frío.,"Título vinculado por coincidencia única de año, NIF e importe. Cruce de expediente pendiente de confirmación documental.","[{""url"": ""https://clusters.ipyme.org/es-es/Identificar/Paginas/DatosAbiertos.aspx"", ""label"": ""Catálogo oficial de proyectos (exportación local)"", ""pagina"": """"}, {""url"": ""https://www.boe.es/diario_boe/txt.php?id=BOE-A-2011-18282"", ""label"": ""Fuente del estado e importe en la base"", ""pagina"": """"}]"
sector:2012:AEI-010300-2012-145,2012,AEI-010300-2012-145,Frío,ASOCIACION MURCIANA DE LOGISTICA (AML),G73517492,VALORIZACIÓN DEL CO2 OBTENIDO DE LA BIOMETANIZACIÓN DE DESHECHOS PARA SU UTILIZACIÓN EN LA LOGÍSTICA DE FRÍO,,concedida_segun_listado,34746.00,,directa,Uso de CO2 en logística de frío.,"Título vinculado por coincidencia única de año, NIF e importe. Cruce de expediente pendiente de confirmación documental.","[{""url"": ""https://clusters.ipyme.org/es-es/Identificar/Paginas/DatosAbiertos.aspx"", ""label"": ""Catálogo oficial de proyectos (exportación local)"", ""pagina"": """"}, {""url"": ""https://www.boe.es/diario_boe/txt.php?id=BOE-A-2013-1009"", ""label"": ""Fuente del estado e importe en la base"", ""pagina"": """"}]"
sector:2013:AEI-010300-2013-187,2013,AEI-010300-2013-187,Frío,ASOC. PARA LA MEJORA COMPETITIVA DEL CLUSTER AGROINDUSTRIAL,G04679650,Estudio comparativo de sistemas de desinfección aplicados en cámaras frigoríficas de almacenamiento de productos hortícolas,,propuesta_desestimada_puntuacion,,,directa,Desinfección de cámaras frigoríficas de almacenamiento hortícola.,,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/2-%20Listado_provisional_ayudas_denegadas.pdf"", ""label"": ""Anexo de propuesta provisional"", ""pagina"": ""2""}]"
sector:2013:AEI-010300-2013-116,2013,AEI-010300-2013-116,Frío,ASOCIACION CLUSTER DEL ENVASE TRANSPORTE LOGISTICA Y MERCANCIAS EXTREMADURA,G06421929,"CERES, De La Tierra a la Mesa - Análisis de Posibilidades y Viabilidad para el Transporte Ferroviario de Fruta y Vegetales Perecederos de Extremadura",,propuesta_desestimada_puntuacion,,,directa,Transporte ferroviario de frutas y vegetales perecederos; conservación durante la distribución.,,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/2-%20Listado_provisional_ayudas_denegadas.pdf"", ""label"": ""Anexo de propuesta provisional"", ""pagina"": ""3""}]"
sector:2013:AEI-010300-2013-172,2013,AEI-010300-2013-172,Frío,ASOCIACIÓN SOSTENIBILIDAD Y ENERGIAS RENOVABLES,G85676997,"ACTIVIDADES ESPECÍFICAS DIRIGIDAS A FORTALECER EL POTENCIAL INNOVADOR Y LA COMPETITIVIDAD DE LAS EMPRESAS DE LA A.E.I.:ESTUDIO DE VIABILIDAD DE RBT, ZERO EMISSIONS THROUGH REFRIGERATION OPTIMIZATION",60,concedida_segun_listado,10194.00,,relacionada,Optimización de refrigeración; el título no permite confirmar aplicación logística.,,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/1-%20Listado_provisional_ayudas_concedidas.pdf"", ""label"": ""Anexo de propuesta provisional"", ""pagina"": ""21""}, {""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2013/Documents/Listado_definitivo_ayudas_concedidas.pdf"", ""label"": ""Fuente del estado e importe en la base"", ""pagina"": ""11""}]"
sector:2014:AEI-010500-2014-366,2014,AEI-010500-2014-366,Frío,ASSOCIACIÓ AEI INNOVI,G65041345,Proyecto de innovación como alternativa ecológica al monopropilenglicol (MPG) en el sistema de congelación de vinos espumosos en el proceso de degüello,50,concedida_segun_listado,29642.00,,relacionada,"Congelación en elaboración de vino; proceso industrial alimentario, no transporte ni almacenaje.",,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2014/Documents/Listado_provisional_ayudas_concedidas.pdf"", ""label"": ""Anexo de propuesta provisional"", ""pagina"": ""22""}, {""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2014/Documents/Listado_definitivo_ayudas_concedidas.pdf"", ""label"": ""Fuente del estado e importe en la base"", ""pagina"": ""20""}]"
sector:2015:AEI-010300-2015-293,2015,AEI-010300-2015-293,Frío,CLUSTER DE IMPRESION FUNCIONAL DE NAVARRA,G71199533,ESTUDIO DE VIABILIDAD TÉCNICA : FABRICACION DE ETIQUETAS INDICADORAS DE DESCONGELACIÓN: CONTROL DE LA CADENA DE FRIO.,71,concedida_segun_listado,27065.00,,directa,Etiquetas que indican descongelación y permiten controlar la cadena de frío.,,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2015/Documents/3-%20Listado_provisional_ayudas_concedidas_AEI_2015.pdf"", ""label"": ""Anexo de propuesta provisional"", ""pagina"": ""2""}, {""url"": ""https://www.boe.es/diario_boe/txt.php?id=BOE-A-2016-856"", ""label"": ""Fuente del estado e importe en la base"", ""pagina"": """"}]"
sector:2017:AEI-010600-2017-178,2017,AEI-010600-2017-178,Frío,ASSOCIACIÓN CLUSTER DIGITAL DE CATALUNYA,G66505751,Estudio de viabilidad para el mantenimiento de la temperatura controlada en los aeropuertos para los sectores químico-farmacéutico y alimentario a través del análisis de datos de temperatura en puntos críticos de distribución y carga.,52.5,concedida_segun_listado,45628.00,,directa,Control de temperatura en distribución y carga aeroportuaria de alimentos y productos farmacéuticos.,,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2017/Documents/Listado_provisional_%20ayudas_concedidas.pdf"", ""label"": ""Anexo de propuesta provisional"", ""pagina"": ""12""}, {""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2017/Documents/2-%20Listado_definitivo_ayudas_concedidas_AEI_2017.pdf"", ""label"": ""Fuente del estado e importe en la base"", ""pagina"": ""9""}]"
sector:2018:AEI-010500-2018-133,2018,AEI-010500-2018-133,Frío,PACKAGING CLUSTER,G65920035,"Cool Packaging, desarrollo de un contenedor modular que mantenga la temperatura controlada durante un mínimo de 5 días de forma pasiva y dotado de inteligencia y control remoto",64.21,concedida_segun_listado,70431.00,,directa,Contenedor modular con temperatura controlada y seguimiento remoto.,,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2018/Documents/Listado_provisional_%20ayudas_concedidas.pdf"", ""label"": ""Anexo de propuesta provisional"", ""pagina"": 3}, {""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2018/Documents/Listado_definitivo_ayudas_concedidas_AEI_2018.pdf"", ""label"": ""Fuente del estado e importe en la base"", ""pagina"": ""2""}]"
sector:2018:AEI-010500-2018-64,2018,AEI-010500-2018-64,Frío,PACKAGING CLUSTER,,"Cool Packaging, desarrollo de un contenedor modular que mantenga la temperatura controlada durante un mínimo de 5 días de forma pasiva y dotado de inteligencia y control remoto",,desistida,,,directa,"Contenedor modular con temperatura controlada; solicitud con renuncia, distinta del expediente 133.",El anexo especifica Renuncia. Se conserva como expediente independiente del 133 aunque comparten título.,"[{""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2018/Documents/Listado_provisional_ayudas_desestimadas.pdf"", ""label"": ""Anexo de propuesta provisional"", ""pagina"": ""6""}, {""url"": ""https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2018/Documents/Listado_provisional_ayudas_desestimadas.pdf"", ""label"": ""Fuente del estado e importe en la base"", ""pagina"": ""6""}]"
