expediente,nif,razon_social,titulo_proyecto,coste_total_original,solicitado_original,subvencionable_original,subvencion_original,comunidad_autonoma,puntuacion_o_motivo,coste_total_eur,solicitado_eur,subvencionable_eur,subvencion_columna_fuente_eur,id_registro,anio_convocatoria,estado_en_fuente,puntuacion,motivo,moneda,fuente_url,pagina_fuente,fila_pagina,fuente_sha256,fecha_consulta,observaciones
AEI-010500-2026-101,G65270035,"CLÚSTER DE LAS TECNOLOGÍAS INTELIGENTES PARA LAS CIUDADES, LOS EDIFICIOS Y LA INDUSTRIA (SMARTECH CLUSTER)",TERRA: Tecnología Edge-Cloud para Riego y Recursos Agronómicos,"372.548,00 €","186.273,00 €","241.762,00 €","120.880,00 €",Cataluña,"77,92",372548.00,186273.00,241762.00,120880.00,AEI-2026-010500-2026-101,2026,propuesta_provisional_aprobada,77.92,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,1,1,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-8,V08504342,CENTRO ESPAÑOL DE PLÁSTICOS,RING Rubber INtegration for Green Compounds,"239.774,00 €","189.056,00 €","239.774,00 €","189.056,00 €",Cataluña,"77,49",239774.00,189056.00,239774.00,189056.00,AEI-2026-010500-2026-8,2026,propuesta_provisional_aprobada,77.49,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,1,2,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-39,V08504342,CENTRO ESPAÑOL DE PLÁSTICOS,MaterIA: IA y modelización acelerada para la predicción de vida útil en polímeros reciclados,"261.231,00 €","198.934,00 €","261.231,00 €","198.934,00 €",Cataluña,"77,24",261231.00,198934.00,261231.00,198934.00,AEI-2026-010500-2026-39,2026,propuesta_provisional_aprobada,77.24,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,1,3,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-54,V08504342,CENTRO ESPAÑOL DE PLÁSTICOS,PolySmart: Hibridación de policarbonato avanzado y sensórica IoT: hacia el acristalamiento inteligente y ligero del vehículo eléctrico,"261.994,00 €","206.285,00 €","261.994,00 €","199.539,00 €",Cataluña,"75,49",261994.00,206285.00,261994.00,199539.00,AEI-2026-010500-2026-54,2026,propuesta_provisional_aprobada,75.49,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,1,4,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-52,G65270035,"CLÚSTER DE LAS TECNOLOGÍAS INTELIGENTES PARA LAS CIUDADES, LOS EDIFICIOS Y LA INDUSTRIA (SMARTECH CLUSTER)",CPD-Agent,"303.703,00 €","241.386,00 €","303.703,00 €","241.386,00 €",Cataluña,"74,69",303703.00,241386.00,303703.00,241386.00,AEI-2026-010500-2026-52,2026,propuesta_provisional_aprobada,74.69,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,1,5,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-82,G93341170,ASOCIACIÓN EMPRESARIAL MULTISECTORIAL INNOVADORA PARA LAS CIUDADES INTELIGENTES (CLUSTER ANDALUCÍA SMART CITY),"SMART NODE - Investigación de un sistema modular de mobiliario urbano inteligente, sostenible y conectado para entornos Smart City","266.791,00 €","194.990,00 €","266.791,00 €","194.990,00 €",Andalucía,"73,22",266791.00,194990.00,266791.00,194990.00,AEI-2026-010500-2026-82,2026,propuesta_provisional_aprobada,73.22,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,1,6,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-133,G19532209,"CLUSTER DE EMPRESAS DIGITALES, SOSTENIBLES E INDUSTRIAS INNOVADORAS (ONTECH INNOVATION)","Investigación y desarrollo de métodos de extracción de moléculas de alto valor añadido de matrices de orina, y métodos de monitorización, vigilancia y eliminación de contaminantes emergentes, para la gestión inteligente de efluentes hospitalarios","316.389,00 €","247.865,00 €","316.389,00 €","247.865,00 €",Andalucía,"72,76",316389.00,247865.00,316389.00,247865.00,AEI-2026-010500-2026-133,2026,propuesta_provisional_aprobada,72.76,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,1,7,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-79,G27407212,ASOCIACIÓN CLÚSTER ALIMENTARIO DE GALICIA,"BIOPREDICTION SOIL: HACIA EL BIOSENSOR VIRTUAL DEL SUELO CON INTEGRACIÓN DE MICROBIOMA, IoT, TELEDETECCIÓN E IA EXPLICABLE PARA LA GESTIÓN PREDICTIVA DE CULTIVOS","290.350,00 €","227.268,00 €","285.356,00 €","222.017,00 €",Galicia,"72,33",290350.00,227268.00,285356.00,222017.00,AEI-2026-010500-2026-79,2026,propuesta_provisional_aprobada,72.33,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,1,8,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-42,V08504342,CENTRO ESPAÑOL DE PLÁSTICOS,Auto-Loop: Investigación industrial para la valorización de plásticos pintados post-consumo de automoción para su reintroducción en componentes técnicos de altas prestaciones,"205.040,00 €","154.630,00 €","155.049,00 €","122.136,00 €",Cataluña,"71,83",205040.00,154630.00,155049.00,122136.00,AEI-2026-010500-2026-42,2026,propuesta_provisional_aprobada,71.83,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,1,9,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
AEI-010500-2026-11,G48888895,ASOC CLUSTER DE ENERGIA ACE,DIGEFLEX - Dimensionamiento y Gestión de Comunidades Energéticas Industriales Flexibles con Microrred,"277.869,00 €","222.294,00 €","277.149,00 €","221.718,00 €",País Vasco,"71,41",277869.00,222294.00,277149.00,221718.00,AEI-2026-010500-2026-11,2026,propuesta_provisional_aprobada,71.41,,EUR,https://www.mintur.gob.es/PortalAyudas/AgrupacionesEmpresariales/Concesion/2026/Documents/Listado_PropResProvisionales_Concedidas.pdf,1,10,da9b09355aa3486e8c0d80dc441f668efa3e3b30dc7505d1a34e98076b850e3c,2026-09-21,Propuesta provisional: no acredita concesión definitiva. El importe de lista de espera no es ayuda concedida.
