id;comunidad;provincia;territorio;municipio;ambito;prioritario;aplica_auto;requiere_revision;exclusiones;notas;fuente_url
andalucia-almeria-abla;Andalucia;Almeria;Almeria;Abla;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-abrucena;Andalucia;Almeria;Almeria;Abrucena;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-albanchez;Andalucia;Almeria;Almeria;Albanchez;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-alboloduy;Andalucia;Almeria;Almeria;Alboloduy;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-albox;Andalucia;Almeria;Almeria;Albox;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-alcolea;Andalucia;Almeria;Almeria;Alcolea;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-alcontar;Andalucia;Almeria;Almeria;Alcóntar;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-alcudia-de-monteagudo;Andalucia;Almeria;Almeria;Alcudia de Monteagudo;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-alhabia;Andalucia;Almeria;Almeria;Alhabia;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-alhama-de-almeria;Andalucia;Almeria;Almeria;Alhama de Almería;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-alicun;Andalucia;Almeria;Almeria;Alicún;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-almocita;Andalucia;Almeria;Almeria;Almocita;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-alsodux;Andalucia;Almeria;Almeria;Alsodux;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-arboleas;Andalucia;Almeria;Almeria;Arboleas;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-armuna-de-almanzora;Andalucia;Almeria;Almeria;Armuña de Almanzora;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-bacares;Andalucia;Almeria;Almeria;Bacares;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-bayarcal;Andalucia;Almeria;Almeria;Bayárcal;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
andalucia-almeria-bayarque;Andalucia;Almeria;Almeria;Bayarque;municipio;si;si;no;;Municipio incluido en el anexo de zonas prioritarias.;https://www.boe.es/buscar/act.php?id=BOE-A-2008-4474&p=20220727&tn=1
