comunidad;territorio;provincia;municipio_regla;nuts_ids;marker_lon;marker_lat;zona_elegible;prioridad_alcance;prioridad_factor;prioridad_notas;intensidad_gran_pct;intensidad_mediana_pct;intensidad_pequena_pct;paro_tramo;paro_max_pts;turismo_equilibrio_pts;bonificacion_especial_pp;notas;fuente_url
Galicia;A Coruna;A Coruna;;ES111;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;15;25;35;10-14;3;5;0;Limite autonomico 2026. Provincia en tramo de paro 10-14 y equilibrio turistico 5.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Galicia.aspx
Galicia;Lugo;Lugo;;ES112;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;15;25;35;<10;0;10;0;Limite autonomico 2026. Provincia en tramo de paro <10 y equilibrio turistico 10.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Galicia.aspx
Galicia;Ourense;Ourense;;ES113;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;15;25;35;10-14;3;12;0;Limite autonomico 2026. Provincia en tramo de paro 10-14 y equilibrio turistico 12.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Galicia.aspx
Galicia;Pontevedra;Pontevedra;;ES114;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;15;25;35;10-14;3;5;0;Limite autonomico 2026. Provincia en tramo de paro 10-14 y equilibrio turistico 5.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Galicia.aspx
Asturias;Asturias;Asturias;;ES120;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;15;25;35;10-14;3;5;0;Limite autonomico 2026. Comunidad uniprovincial.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Asturias.aspx
Cantabria;Cantabria;Cantabria;;ES130;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;15;25;35;10-14;3;5;0;Limite autonomico 2026. Comunidad uniprovincial.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Cantabria.aspx
Aragon;Huesca;Huesca;;ES241;;;si;total;1.2;Toda la provincia de Huesca es zona prioritaria segun el anexo del real decreto aplicable.;15;25;35;<10;0;7;0;Limite autonomico 2026 para resto de Aragon excepto Zaragoza capital.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Aragon.aspx
Aragon;Teruel;Teruel;;ES242;;;si;total;1.2;Toda la provincia de Teruel es zona prioritaria segun el anexo del real decreto aplicable.;20;30;40;<10;5;10;0;Teruel tiene intensidad diferenciada y puntuacion maxima de paro por baja poblacion.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Aragon.aspx
Aragon;Zaragoza provincia excepto capital;Zaragoza;excepto Zaragoza capital;ES243;;;si;no;1;Sin prioridad territorial en el anexo del real decreto aplicable.;15;25;35;<10;0;7;0;La ciudad de Zaragoza queda fuera segun ficha oficial.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Aragon.aspx
Aragon;Zaragoza capital;Zaragoza;Zaragoza capital;;-0.8773;41.6561;no;no;1;Sin aplicacion en el sistema general de incentivos regionales.;;;;n/a;0;n/a;0;Territorio excluido en la ficha oficial de Aragon.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/Aragon.aspx
Castilla y Leon;Avila;Avila;;ES411;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;25;35;45;14-18;4;12;0;Limite provincial 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/CastillaLeon.aspx
Castilla y Leon;Burgos;Burgos;;ES412;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;15;25;35;10-14;3;10;0;Limite provincial 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/CastillaLeon.aspx
Castilla y Leon;Leon;Leon;;ES413;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;15;25;35;10-14;3;10;0;Limite provincial 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/CastillaLeon.aspx
Castilla y Leon;Palencia;Palencia;;ES414;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;15;25;35;<10;0;12;0;Limite provincial 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/CastillaLeon.aspx
Castilla y Leon;Salamanca;Salamanca;;ES415;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;25;35;45;10-14;3;7;0;Limite provincial 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/CastillaLeon.aspx
Castilla y Leon;Segovia;Segovia;;ES416;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;15;25;35;10-14;3;10;0;Limite provincial 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/CastillaLeon.aspx
Castilla y Leon;Soria;Soria;;ES417;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;20;30;40;<10;5;12;0;Soria tiene puntuacion maxima de paro por baja poblacion.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/CastillaLeon.aspx
Castilla y Leon;Valladolid;Valladolid;;ES418;;;si;parcial;1.2;La prioridad depende del municipio o area incluida en el anexo del real decreto aplicable.;15;25;35;<10;0;10;0;Limite provincial 2026.;https://www.pap.hacienda.gob.es/sitios/ir/es-ES/ia/Paginas/CastillaLeon.aspx
